size;time
100000;39
200000;44
300000;61
400000;64
500000;68
600000;57
700000;94
800000;74
900000;102
1000000;76
1100000;82
1200000;123
1300000;138
1400000;119
1500000;117
1600000;138
1700000;112
1800000;97
1900000;125
2000000;118
2100000;72
2200000;109
2300000;128
2400000;73
2500000;71
2600000;92
2700000;108
2800000;120
2900000;96
3000000;106
3100000;109
3200000;141
3300000;130
3400000;120
3500000;107
3600000;133
3700000;140
3800000;124
3900000;121
4000000;135
4100000;153
4200000;149
4300000;129
4400000;112
4500000;123
4600000;153
4700000;140
4800000;145
4900000;160
5000000;157
5100000;156
5200000;132
5300000;148
5400000;154
5500000;133
5600000;124
5700000;129
5800000;127
5900000;130
6000000;127
6100000;139
6200000;146
6300000;157
6400000;147
6500000;164
6600000;192
6700000;164
6800000;142
6900000;150
7000000;161
7100000;158
7200000;163
7300000;167
7400000;156
7500000;152
7600000;148
7700000;187
7800000;160
7900000;177
8000000;169
8100000;147
8200000;151
8300000;172
8400000;159
8500000;173
8600000;164
8700000;157
8800000;145
8900000;160
9000000;152
9100000;143
9200000;147
9300000;150
9400000;145
9500000;142
9600000;99
9700000;101
9800000;138
9900000;149
10000000;161
