size;time
100000;31
200000;31
300000;20
400000;41
500000;42
600000;42
700000;35
800000;36
900000;32
1000000;35
1100000;38
1200000;38
1300000;40
1400000;38
1500000;35
1600000;34
1700000;36
1800000;36
1900000;39
2000000;47
2100000;38
2200000;38
2300000;41
2400000;42
2500000;38
2600000;39
2700000;47
2800000;36
2900000;40
3000000;43
3100000;40
3200000;38
3300000;40
3400000;41
3500000;41
3600000;41
3700000;40
3800000;39
3900000;41
4000000;39
4100000;40
4200000;41
4300000;39
4400000;37
4500000;41
4600000;40
4700000;40
4800000;39
4900000;41
5000000;41
5100000;41
5200000;40
5300000;39
5400000;40
5500000;40
5600000;41
5700000;40
5800000;41
5900000;41
6000000;41
6100000;41
6200000;38
6300000;41
6400000;42
6500000;41
6600000;42
6700000;39
6800000;40
6900000;42
7000000;40
7100000;40
7200000;41
7300000;40
7400000;39
7500000;41
7600000;41
7700000;40
7800000;42
7900000;42
8000000;42
8100000;42
8200000;41
8300000;41
8400000;42
8500000;41
8600000;41
8700000;43
8800000;40
8900000;41
9000000;40
9100000;41
9200000;41
9300000;45
9400000;43
9500000;40
9600000;42
9700000;42
9800000;41
9900000;40
10000000;42
