size;time
100000;1361920
200000;2700195
300000;4067689
400000;5432893
500000;6771717
600000;8130511
700000;9504201
800000;10823113
900000;12178253
1000000;13559312
1100000;14906913
1200000;16256578
1300000;17603928
1400000;18994526
1500000;20302070
1600000;21698872
1700000;23006299
1800000;24366285
1900000;25687803
2000000;27051452
2100000;28373420
2200000;29782726
2300000;31050557
2400000;32525963
2500000;33817585
2600000;35178608
2700000;36534895
2800000;37850453
2900000;39304027
3000000;40555523
3100000;41903556
3200000;43176483
3300000;44563506
3400000;45956852
3500000;47240915
3600000;48582121
3700000;50038499
3800000;51307566
3900000;52728033
4000000;54279230
4100000;55386126
4200000;56717387
4300000;58115781
4400000;59416193
4500000;60795907
4600000;62112550
4700000;63612294
4800000;64806852
4900000;66156440
5000000;67726696
5100000;68887768
5200000;70425281
5300000;71589671
5400000;73005206
5500000;74307922
5600000;75760930
5700000;77083942
5800000;78425325
5900000;79800088
6000000;81248635
6100000;82640043
6200000;84100635
6300000;85318184
6400000;86522941
6500000;87832681
6600000;89221879
6700000;90794065
6800000;91985028
6900000;93330042
7000000;94701035
7100000;95914865
7200000;97517381
7300000;98669849
7400000;99935488
7500000;101412742
7600000;102998886
7700000;104211715
7800000;105769617
7900000;107276857
8000000;108528658
8100000;109879918
8200000;111166623
8300000;112395063
8400000;113687761
8500000;115465972
8600000;116650564
8700000;117821302
8800000;119260441
8900000;120942511
9000000;121977343
9100000;123248602
9200000;124421073
9300000;125959618
9400000;126951110
9500000;128345862
9600000;130142791
9700000;131251867
9800000;132678831
9900000;134201787
10000000;135188798
