size;time
100000;1413116
200000;2818446
300000;4228287
400000;5649778
500000;7077103
600000;8481383
700000;9876626
800000;11271111
900000;12682468
1000000;14082485
1100000;15535381
1200000;16888557
1300000;18305598
1400000;19713162
1500000;21132312
1600000;22552453
1700000;23982591
1800000;25333115
1900000;26741634
2000000;28131320
2100000;29591944
2200000;31015622
2300000;32356683
2400000;33770898
2500000;35181368
2600000;36647293
2700000;38082363
2800000;39413366
2900000;40894694
3000000;42246611
3100000;43672443
3200000;45062393
3300000;46461782
3400000;47896499
3500000;49262540
3600000;50685984
3700000;52207681
3800000;53534932
3900000;54899627
4000000;56298010
4100000;57740174
4200000;59165535
4300000;60570967
4400000;61973731
4500000;63342058
4600000;64752570
4700000;66150480
4800000;67517459
4900000;69010520
5000000;70368759
5100000;71753438
5200000;73221746
5300000;74552693
5400000;75961524
5500000;77358482
5600000;78796973
5700000;80175465
5800000;81541912
5900000;83013377
6000000;84403191
6100000;85986065
6200000;87287652
6300000;88830325
6400000;90134858
6500000;91534174
6600000;93212043
6700000;94446288
6800000;95834949
6900000;97111847
7000000;98566930
7100000;99930687
7200000;101431737
7300000;102719879
7400000;104212648
7500000;105569604
7600000;106954306
7700000;108433370
7800000;109786549
7900000;111238361
8000000;112656020
8100000;114057110
8200000;115329400
8300000;116863388
8400000;118301991
8500000;119802395
8600000;121049090
8700000;122653563
8800000;123899581
8900000;125279552
9000000;126730410
9100000;128234395
9200000;129509340
9300000;130967163
9400000;132228969
9500000;133732541
9600000;134970344
9700000;136372043
9800000;137892017
9900000;139274403
10000000;140710439
