size;time
100000;690219
200000;1272858
300000;2081838
400000;3114775
500000;3518891
600000;4066420
700000;4670746
800000;5173050
900000;6080592
1000000;6906045
1100000;7755513
1200000;8109196
1300000;9014177
1400000;10176229
1500000;10549164
1600000;10461199
1700000;11478737
1800000;11905454
1900000;12545723
2000000;14366622
2100000;16381351
2200000;14718775
2300000;15439420
2400000;16523836
2500000;15386791
2600000;18848338
2700000;17060917
2800000;19175517
2900000;20977824
3000000;21157504
3100000;19595962
3200000;21363647
3300000;21230603
3400000;24308779
3500000;23603058
3600000;25553455
3700000;22444691
3800000;27227842
3900000;26201888
4000000;26791280
4100000;29013664
4200000;30840026
4300000;28786172
4400000;30609494
4500000;32962505
4600000;29967789
4700000;31949913
4800000;29886556
4900000;33529116
5000000;34527090
5100000;35856014
5200000;34399778
5300000;35984084
5400000;36175937
5500000;32944333
5600000;39176656
5700000;35697338
5800000;38809845
5900000;39785712
6000000;40508095
6100000;42586515
6200000;40305437
6300000;40505239
6400000;44721498
6500000;42296050
6600000;44391800
6700000;46625518
6800000;48303762
6900000;47487363
7000000;45624076
7100000;47580035
7200000;47832683
7300000;51420936
7400000;49543676
7500000;49602686
7600000;57390479
7700000;51517297
7800000;56163407
7900000;53107775
8000000;54174976
8100000;55280044
8200000;59393569
8300000;53901799
8400000;57465543
8500000;58780492
8600000;61009057
8700000;57637950
8800000;60823612
8900000;56433090
9000000;56144372
9100000;64776776
9200000;58644911
9300000;64013636
9400000;67758723
9500000;63065851
9600000;65189565
9700000;64335680
9800000;63490909
9900000;69370610
10000000;63696486
