size;time
100000;787564
200000;1536118
300000;2330353
400000;3045270
500000;3640352
600000;4624477
700000;5165332
800000;5697234
900000;6903104
1000000;7647544
1100000;8082856
1200000;8375879
1300000;8689761
1400000;10312391
1500000;10357431
1600000;11412772
1700000;12283482
1800000;12264906
1900000;12134750
2000000;13966406
2100000;13801611
2200000;15484963
2300000;15753157
2400000;17441314
2500000;16616195
2600000;18233463
2700000;16897690
2800000;18704700
2900000;21109680
3000000;19973599
3100000;18472533
3200000;21066131
3300000;21264031
3400000;22150295
3500000;23635007
3600000;22694829
3700000;22773468
3800000;27188032
3900000;22985600
4000000;25097430
4100000;24773868
4200000;26701296
4300000;28855866
4400000;26178816
4500000;28574033
4600000;28642173
4700000;29096943
4800000;30988543
4900000;33153782
5000000;27867848
5100000;25271289
5200000;26942920
5300000;30321857
5400000;31985801
5500000;28732260
5600000;29457563
5700000;33301937
5800000;34172153
5900000;29302345
6000000;32585532
6100000;35344528
6200000;30508709
6300000;31353521
6400000;34113267
6500000;30641221
6600000;34572915
6700000;34128122
6800000;41511442
6900000;30995225
7000000;30865157
7100000;35875991
7200000;33500329
7300000;36104099
7400000;31316967
7500000;35133677
7600000;41229977
7700000;34447453
7800000;33841844
7900000;38508915
8000000;40561503
8100000;31341534
8200000;35589503
8300000;44222542
8400000;42262218
8500000;39780815
8600000;38189751
8700000;37544089
8800000;37733565
8900000;37436163
9000000;33853592
9100000;39468835
9200000;47376210
9300000;42004566
9400000;38396469
9500000;34917447
9600000;37844705
9700000;34367253
9800000;42092021
9900000;30526039
10000000;37536189
