size;time
100000;229
200000;225
300000;244
400000;285
500000;288
600000;306
700000;333
800000;301
900000;329
1000000;314
1100000;298
1200000;273
1300000;291
1400000;291
1500000;319
1600000;311
1700000;329
1800000;304
1900000;292
2000000;325
2100000;315
2200000;293
2300000;269
2400000;318
2500000;342
2600000;301
2700000;295
2800000;316
2900000;316
3000000;286
3100000;296
3200000;296
3300000;270
3400000;289
3500000;286
3600000;314
3700000;286
3800000;292
3900000;292
4000000;324
4100000;284
4200000;277
4300000;302
4400000;287
4500000;276
4600000;302
4700000;312
4800000;284
4900000;283
5000000;272
5100000;268
5200000;292
5300000;269
5400000;292
5500000;287
5600000;299
5700000;303
5800000;315
5900000;297
6000000;300
6100000;279
6200000;289
6300000;279
6400000;280
6500000;278
6600000;271
6700000;278
6800000;277
6900000;287
7000000;274
7100000;269
7200000;280
7300000;279
7400000;299
7500000;291
7600000;271
7700000;270
7800000;287
7900000;271
8000000;263
8100000;272
8200000;269
8300000;268
8400000;275
8500000;261
8600000;261
8700000;260
8800000;281
8900000;272
9000000;283
9100000;277
9200000;281
9300000;268
9400000;271
9500000;309
9600000;311
9700000;312
9800000;269
9900000;281
10000000;273
