size;time
100000;108
200000;121
300000;107
400000;224
500000;244
600000;209
700000;222
800000;188
900000;177
1000000;210
1100000;208
1200000;210
1300000;185
1400000;192
1500000;199
1600000;214
1700000;197
1800000;209
1900000;206
2000000;180
2100000;207
2200000;198
2300000;234
2400000;253
2500000;200
2600000;193
2700000;199
2800000;178
2900000;230
3000000;243
3100000;225
3200000;230
3300000;225
3400000;230
3500000;270
3600000;255
3700000;240
3800000;232
3900000;276
4000000;233
4100000;249
4200000;257
4300000;233
4400000;234
4500000;208
4600000;245
4700000;253
4800000;261
4900000;325
5000000;265
5100000;276
5200000;280
5300000;236
5400000;229
5500000;250
5600000;293
5700000;258
5800000;278
5900000;280
6000000;263
6100000;288
6200000;273
6300000;322
6400000;290
6500000;299
6600000;316
6700000;280
6800000;290
6900000;317
7000000;296
7100000;276
7200000;302
7300000;308
7400000;305
7500000;272
7600000;336
7700000;334
7800000;316
7900000;349
8000000;323
8100000;357
8200000;311
8300000;305
8400000;337
8500000;323
8600000;310
8700000;356
8800000;339
8900000;321
9000000;338
9100000;327
9200000;358
9300000;338
9400000;353
9500000;396
9600000;341
9700000;343
9800000;334
9900000;311
10000000;348
