size;time
100000;235
200000;237
300000;262
400000;304
500000;369
600000;331
700000;399
800000;398
900000;357
1000000;416
1100000;448
1200000;431
1300000;399
1400000;441
1500000;449
1600000;442
1700000;434
1800000;415
1900000;433
2000000;378
2100000;425
2200000;448
2300000;444
2400000;378
2500000;431
2600000;443
2700000;411
2800000;428
2900000;460
3000000;441
3100000;497
3200000;545
3300000;440
3400000;463
3500000;414
3600000;447
3700000;469
3800000;433
3900000;366
4000000;489
4100000;417
4200000;424
4300000;485
4400000;475
4500000;440
4600000;481
4700000;468
4800000;492
4900000;437
5000000;463
5100000;493
5200000;483
5300000;526
5400000;483
5500000;466
5600000;514
5700000;636
5800000;575
5900000;453
6000000;507
6100000;513
6200000;442
6300000;437
6400000;476
6500000;507
6600000;550
6700000;482
6800000;474
6900000;475
7000000;526
7100000;499
7200000;470
7300000;556
7400000;511
7500000;537
7600000;746
7700000;773
7800000;794
7900000;779
8000000;790
8100000;897
8200000;818
8300000;924
8400000;791
8500000;785
8600000;915
8700000;887
8800000;857
8900000;832
9000000;806
9100000;657
9200000;628
9300000;687
9400000;610
9500000;620
9600000;668
9700000;667
9800000;583
9900000;685
10000000;639
