size;time
100000;134
200000;130
300000;230
400000;284
500000;398
600000;319
700000;335
800000;338
900000;330
1000000;363
1100000;343
1200000;345
1300000;332
1400000;425
1500000;407
1600000;364
1700000;408
1800000;365
1900000;365
2000000;366
2100000;378
2200000;423
2300000;434
2400000;407
2500000;405
2600000;408
2700000;418
2800000;353
2900000;419
3000000;382
3100000;451
3200000;428
3300000;399
3400000;416
3500000;376
3600000;398
3700000;413
3800000;421
3900000;426
4000000;400
4100000;433
4200000;403
4300000;426
4400000;429
4500000;434
4600000;411
4700000;460
4800000;421
4900000;428
5000000;393
5100000;405
5200000;430
5300000;402
5400000;428
5500000;429
5600000;444
5700000;403
5800000;406
5900000;422
6000000;449
6100000;443
6200000;388
6300000;421
6400000;427
6500000;400
6600000;454
6700000;446
6800000;432
6900000;435
7000000;512
7100000;421
7200000;433
7300000;474
7400000;546
7500000;485
7600000;443
7700000;449
7800000;478
7900000;477
8000000;432
8100000;447
8200000;461
8300000;460
8400000;497
8500000;518
8600000;517
8700000;552
8800000;464
8900000;461
9000000;508
9100000;500
9200000;504
9300000;575
9400000;496
9500000;471
9600000;464
9700000;515
9800000;485
9900000;479
10000000;467
