size;time
100000;278749
200000;602141
300000;814646
400000;949025
500000;1335828
600000;1664088
700000;2028525
800000;2327300
900000;2519261
1000000;2740493
1100000;2973997
1200000;3357357
1300000;3543997
1400000;3643220
1500000;4009655
1600000;4599447
1700000;4712163
1800000;5098735
1900000;5434547
2000000;5220799
2100000;4967100
2200000;6194644
2300000;6494591
2400000;6550585
2500000;7591128
2600000;6703839
2700000;8052121
2800000;7673634
2900000;7621438
3000000;8051325
3100000;9212884
3200000;9030995
3300000;9618665
3400000;8891461
3500000;9796826
3600000;9548948
3700000;11346169
3800000;9948848
3900000;10895609
4000000;11195948
4100000;10868315
4200000;10640614
4300000;12105076
4400000;11897362
4500000;11534557
4600000;13289158
4700000;12965201
4800000;14375425
4900000;13609564
5000000;13613406
5100000;13591595
5200000;14764535
5300000;14653729
5400000;15183392
5500000;17018250
5600000;15013082
5700000;17060298
5800000;16297192
5900000;16503797
6000000;16762378
6100000;16458886
6200000;17954993
6300000;18478978
6400000;17228820
6500000;18781379
6600000;18519192
6700000;18129791
6800000;17849699
6900000;18758422
7000000;20150825
7100000;19837007
7200000;20261334
7300000;19415749
7400000;20733953
7500000;21215516
7600000;18629672
7700000;21542287
7800000;20201820
7900000;21969986
8000000;22113416
8100000;22215114
8200000;21070727
8300000;23960924
8400000;23037468
8500000;23027949
8600000;22608080
8700000;24538942
8800000;23805539
8900000;26202494
9000000;26806307
9100000;23899718
9200000;26929735
9300000;25311358
9400000;24347314
9500000;26801001
9600000;26494022
9700000;27400537
9800000;28297711
9900000;26404610
10000000;29346437
