size;time
100000;540503
200000;1079560
300000;1599886
400000;2135660
500000;2521703
600000;3179093
700000;3565132
800000;3914609
900000;4738018
1000000;5251578
1100000;5470044
1200000;5666004
1300000;5919103
1400000;7048131
1500000;7092531
1600000;7814215
1700000;8421000
1800000;8422756
1900000;8332283
2000000;9517493
2100000;9403514
2200000;10589778
2300000;10762119
2400000;11969129
2500000;11384277
2600000;12449931
2700000;11512416
2800000;12779070
2900000;14370450
3000000;13538721
3100000;12643236
3200000;14429360
3300000;14541848
3400000;15202569
3500000;16153874
3600000;15500213
3700000;15584033
3800000;18711677
3900000;15682294
4000000;17160456
4100000;16979649
4200000;18301105
4300000;19775523
4400000;17935657
4500000;19550964
4600000;19566596
4700000;19870146
4800000;21216426
4900000;22697059
5000000;19079108
5100000;17282965
5200000;18393558
5300000;20749860
5400000;21877100
5500000;19682224
5600000;20215340
5700000;22756236
5800000;23326279
5900000;20109420
6000000;22294042
6100000;24221001
6200000;20894170
6300000;21460522
6400000;23400079
6500000;21013189
6600000;23662578
6700000;23288911
6800000;28419548
6900000;21227261
7000000;21141731
7100000;24555599
7200000;22939058
7300000;24835041
7400000;21458202
7500000;24104589
7600000;28211072
7700000;23625865
7800000;23206819
7900000;26396707
8000000;27820881
8100000;21493073
8200000;24420502
8300000;30286187
8400000;29010843
8500000;27315194
8600000;26244166
8700000;25734409
8800000;25810477
8900000;25669941
9000000;23109885
9100000;27126925
9200000;32443632
9300000;28815637
9400000;26348001
9500000;23928257
9600000;25930890
9700000;23565304
9800000;28884917
9900000;20903806
10000000;25718453
