size;time
100000;271283
200000;599988
300000;818056
400000;1132938
500000;1436869
600000;1611549
700000;1903156
800000;2236607
900000;2346191
1000000;2848502
1100000;2989637
1200000;3268880
1300000;3332620
1400000;3990988
1500000;3749035
1600000;4202764
1700000;4529487
1800000;5312317
1900000;5154676
2000000;5375083
2100000;5640295
2200000;6682155
2300000;7007164
2400000;6941472
2500000;7493466
2600000;7439867
2700000;7699359
2800000;7817043
2900000;7832942
3000000;8811887
3100000;7781750
3200000;8514679
3300000;9211201
3400000;9262476
3500000;9271351
3600000;9487424
3700000;10386415
3800000;10389450
3900000;10680773
4000000;10267703
4100000;10922512
4200000;11290474
4300000;12156494
4400000;12105543
4500000;12992479
4600000;12836512
4700000;13663871
4800000;13348587
4900000;13354735
5000000;14437481
5100000;13939586
5200000;14916075
5300000;14429122
5400000;15329869
5500000;13919410
5600000;15408099
5700000;16183832
5800000;15304242
5900000;15851580
6000000;16516892
6100000;15035050
6200000;17634164
6300000;18620850
6400000;17630169
6500000;16160570
6600000;17176183
6700000;19417524
6800000;18970036
6900000;19454580
7000000;20104288
7100000;18235926
7200000;20012933
7300000;19522173
7400000;21617522
7500000;19245503
7600000;20460387
7700000;19972001
7800000;23435880
7900000;23553020
8000000;21873882
8100000;21906532
8200000;22593502
8300000;20153646
8400000;22259118
8500000;21808657
8600000;23943427
8700000;23862786
8800000;24768836
8900000;25190568
9000000;25541606
9100000;24924038
9200000;26226811
9300000;25610684
9400000;27260005
9500000;26332816
9600000;26573093
9700000;25732180
9800000;27205504
9900000;26971001
10000000;26858724
