size;time
100000;360
200000;379
300000;460
400000;507
500000;524
600000;501
700000;493
800000;534
900000;522
1000000;524
1100000;655
1200000;549
1300000;523
1400000;541
1500000;547
1600000;584
1700000;566
1800000;568
1900000;521
2000000;567
2100000;513
2200000;567
2300000;555
2400000;515
2500000;489
2600000;514
2700000;540
2800000;541
2900000;499
3000000;515
3100000;516
3200000;535
3300000;550
3400000;539
3500000;528
3600000;567
3700000;525
3800000;542
3900000;533
4000000;539
4100000;568
4200000;565
4300000;529
4400000;514
4500000;546
4600000;540
4700000;577
4800000;555
4900000;554
5000000;555
5100000;547
5200000;554
5300000;535
5400000;422
5500000;461
5600000;451
5700000;485
5800000;469
5900000;457
6000000;489
6100000;503
6200000;521
6300000;529
6400000;549
6500000;557
6600000;495
6700000;562
6800000;519
6900000;563
7000000;556
7100000;573
7200000;546
7300000;556
7400000;564
7500000;559
7600000;570
7700000;613
7800000;581
7900000;589
8000000;566
8100000;551
8200000;565
8300000;599
8400000;617
8500000;541
8600000;573
8700000;589
8800000;580
8900000;619
9000000;590
9100000;572
9200000;567
9300000;581
9400000;588
9500000;635
9600000;590
9700000;570
9800000;582
9900000;623
10000000;576
