size;time
100000;554663
200000;1109115
300000;1660737
400000;2231445
500000;2797048
600000;3350798
700000;3913199
800000;4475316
900000;5054561
1000000;5588880
1100000;6145645
1200000;6739801
1300000;7266046
1400000;7828928
1500000;8377698
1600000;8947489
1700000;9503108
1800000;10067883
1900000;10637446
2000000;11182639
2100000;11732602
2200000;12291662
2300000;12849904
2400000;13418658
2500000;13966019
2600000;14520938
2700000;15092433
2800000;15642119
2900000;16201933
3000000;16763582
3100000;17319587
3200000;17916978
3300000;18436736
3400000;18990032
3500000;19551212
3600000;20134974
3700000;20664430
3800000;21246926
3900000;21784313
4000000;22340463
4100000;22908747
4200000;23467886
4300000;24015628
4400000;24580967
4500000;25131594
4600000;25693478
4700000;26250615
4800000;26802115
4900000;27372578
5000000;27950929
5100000;28505563
5200000;29064870
5300000;29600644
5400000;30171519
5500000;30732999
5600000;31328056
5700000;31842571
5800000;32395207
5900000;32963030
6000000;33555721
6100000;34068275
6200000;34609651
6300000;35160271
6400000;35755613
6500000;36269959
6600000;36825966
6700000;37382050
6800000;37976695
6900000;38481265
7000000;39022339
7100000;39591389
7200000;40143326
7300000;40713894
7400000;41281502
7500000;41796053
7600000;42386245
7700000;42953704
7800000;43484041
7900000;44010107
8000000;44611264
8100000;45152566
8200000;45705259
8300000;46248639
8400000;46791861
8500000;47365981
8600000;47877072
8700000;48444682
8800000;49011227
8900000;49536600
9000000;50168554
9100000;50693333
9200000;51237022
9300000;51766315
9400000;52331824
9500000;52930949
9600000;53431477
9700000;53985057
9800000;54546923
9900000;55090359
10000000;55644030
