size;time
100000;376
200000;374
300000;431
400000;481
500000;515
600000;439
700000;528
800000;532
900000;554
1000000;626
1100000;730
1200000;629
1300000;677
1400000;735
1500000;685
1600000;729
1700000;804
1800000;787
1900000;722
2000000;662
2100000;760
2200000;706
2300000;760
2400000;711
2500000;732
2600000;764
2700000;693
2800000;700
2900000;798
3000000;742
3100000;780
3200000;842
3300000;740
3400000;849
3500000;782
3600000;781
3700000;808
3800000;705
3900000;693
4000000;786
4100000;735
4200000;801
4300000;871
4400000;778
4500000;789
4600000;799
4700000;811
4800000;865
4900000;819
5000000;923
5100000;928
5200000;852
5300000;938
5400000;826
5500000;699
5600000;721
5700000;824
5800000;736
5900000;652
6000000;741
6100000;705
6200000;624
6300000;717
6400000;681
6500000;745
6600000;918
6700000;808
6800000;753
6900000;819
7000000;798
7100000;792
7200000;809
7300000;785
7400000;924
7500000;907
7600000;901
7700000;700
7800000;739
7900000;743
8000000;833
8100000;846
8200000;711
8300000;777
8400000;968
8500000;797
8600000;775
8700000;796
8800000;883
8900000;872
9000000;1073
9100000;950
9200000;918
9300000;1036
9400000;941
9500000;1012
9600000;978
9700000;1020
9800000;884
9900000;969
10000000;938
