size;time
100000;132
200000;139
300000;272
400000;274
500000;330
600000;307
700000;348
800000;341
900000;345
1000000;417
1100000;392
1200000;389
1300000;415
1400000;458
1500000;454
1600000;439
1700000;493
1800000;475
1900000;400
2000000;438
2100000;470
2200000;456
2300000;443
2400000;440
2500000;474
2600000;496
2700000;492
2800000;402
2900000;489
3000000;436
3100000;518
3200000;504
3300000;437
3400000;642
3500000;481
3600000;493
3700000;509
3800000;438
3900000;540
4000000;538
4100000;482
4200000;498
4300000;561
4400000;577
4500000;534
4600000;517
4700000;539
4800000;452
4900000;524
5000000;522
5100000;466
5200000;505
5300000;472
5400000;461
5500000;470
5600000;460
5700000;497
5800000;446
5900000;458
6000000;446
6100000;535
6200000;478
6300000;592
6400000;582
6500000;543
6600000;595
6700000;577
6800000;600
6900000;656
7000000;727
7100000;555
7200000;589
7300000;626
7400000;672
7500000;692
7600000;574
7700000;623
7800000;617
7900000;630
8000000;571
8100000;563
8200000;532
8300000;524
8400000;589
8500000;626
8600000;623
8700000;630
8800000;596
8900000;633
9000000;655
9100000;682
9200000;688
9300000;631
9400000;650
9500000;665
9600000;596
9700000;738
9800000;629
9900000;655
10000000;621
