size;time
100000;291019
200000;634869
300000;851514
400000;985990
500000;1388729
600000;1732050
700000;2067331
800000;2424193
900000;2625130
1000000;2844339
1100000;3105189
1200000;3504188
1300000;3683109
1400000;3807213
1500000;4184254
1600000;4775921
1700000;4890157
1800000;5294402
1900000;5622405
2000000;5430955
2100000;5170070
2200000;6458608
2300000;6755328
2400000;6818574
2500000;7891837
2600000;7010848
2700000;8343543
2800000;7985666
2900000;7919443
3000000;8349662
3100000;9594052
3200000;9400104
3300000;9998445
3400000;9263159
3500000;10167912
3600000;9976271
3700000;11818620
3800000;10369085
3900000;11357143
4000000;11660664
4100000;11318916
4200000;11081398
4300000;12570931
4400000;12394502
4500000;12029112
4600000;13858954
4700000;13510134
4800000;15003310
4900000;14137610
5000000;14177401
5100000;14164629
5200000;15370738
5300000;15270368
5400000;15821254
5500000;17753791
5600000;15658174
5700000;17701196
5800000;16990728
5900000;17134712
6000000;17423965
6100000;17122594
6200000;18733795
6300000;19188975
6400000;17941049
6500000;19538301
6600000;19293874
6700000;18869355
6800000;18592901
6900000;19529111
7000000;20986539
7100000;20648571
7200000;21070214
7300000;20254117
7400000;21536777
7500000;22071776
7600000;19389573
7700000;22446418
7800000;21030957
7900000;22916336
8000000;23032699
8100000;23114047
8200000;21946499
8300000;24910694
8400000;24014231
8500000;23962340
8600000;23535719
8700000;25588512
8800000;24811451
8900000;27246721
9000000;27919137
9100000;24844521
9200000;28034823
9300000;26371476
9400000;25356397
9500000;27938406
9600000;27614569
9700000;28537445
9800000;29460654
9900000;27532517
10000000;30552263
