size;time
100000;602764
200000;1186445
300000;1769695
400000;2334754
500000;2673657
600000;3433170
700000;3949699
800000;4346493
900000;5101132
1000000;5612955
1100000;6082884
1200000;6208794
1300000;6440617
1400000;7610934
1500000;7664346
1600000;8460892
1700000;9056060
1800000;9142633
1900000;8736680
2000000;10342942
2100000;10444710
2200000;11353977
2300000;11453605
2400000;12803223
2500000;12166490
2600000;13238955
2700000;12386248
2800000;14032859
2900000;15602735
3000000;14324232
3100000;13450270
3200000;15417655
3300000;15368733
3400000;16287797
3500000;17194733
3600000;16590798
3700000;16657810
3800000;20264033
3900000;16581108
4000000;18539743
4100000;17934321
4200000;19226370
4300000;20931375
4400000;18899841
4500000;20670453
4600000;20689807
4700000;20872371
4800000;22447426
4900000;23817220
5000000;20050569
5100000;18165101
5200000;19326494
5300000;21894491
5400000;23206586
5500000;20677303
5600000;21245019
5700000;23937620
5800000;24508287
5900000;21228396
6000000;23421079
6100000;25451386
6200000;22205820
6300000;22594710
6400000;24566379
6500000;22175720
6600000;24846604
6700000;24460602
6800000;29819288
6900000;22311261
7000000;22222462
7100000;25748037
7200000;24077105
7300000;26034995
7400000;22535479
7500000;25317944
7600000;29816354
7700000;24908144
7800000;24348737
7900000;27766002
8000000;29309598
8100000;22578403
8200000;25798000
8300000;31926704
8400000;30433840
8500000;28646184
8600000;27491697
8700000;27026337
8800000;27177531
8900000;26929802
9000000;24295392
9100000;28408990
9200000;34055177
9300000;30217501
9400000;27648861
9500000;25187228
9600000;27239777
9700000;24744517
9800000;30282781
9900000;21947105
10000000;27002075
