size;time
100000;265889
200000;600228
300000;825720
400000;1132768
500000;1466025
600000;1648522
700000;1939498
800000;2273013
900000;2392297
1000000;2904203
1100000;3048910
1200000;3335112
1300000;3398059
1400000;4050970
1500000;3820857
1600000;4285477
1700000;4617365
1800000;5412458
1900000;5256377
2000000;5483358
2100000;5751955
2200000;6812036
2300000;7149525
2400000;7089128
2500000;7640587
2600000;7583666
2700000;7847982
2800000;7983110
2900000;7985237
3000000;8989791
3100000;7936790
3200000;8684506
3300000;9397368
3400000;9448764
3500000;9456068
3600000;9672865
3700000;10599042
3800000;10597554
3900000;10933400
4000000;10479370
4100000;11128836
4200000;11508649
4300000;12403608
4400000;12365996
4500000;13232875
4600000;13075198
4700000;13959490
4800000;13634653
4900000;13642643
5000000;14732229
5100000;14222814
5200000;15232912
5300000;14713889
5400000;15591094
5500000;14206865
5600000;15714258
5700000;16516625
5800000;15615815
5900000;16176464
6000000;16839624
6100000;15306307
6200000;17908831
6300000;18988967
6400000;17975853
6500000;16454514
6600000;17543582
6700000;19785529
6800000;19325990
6900000;19817045
7000000;20487132
7100000;18606903
7200000;20394029
7300000;19869617
7400000;22035345
7500000;19602836
7600000;20862140
7700000;20340999
7800000;23874863
7900000;23998553
8000000;22278155
8100000;22324980
8200000;22997914
8300000;20513257
8400000;22577898
8500000;22220677
8600000;24390370
8700000;24329022
8800000;25178007
8900000;25611534
9000000;26041201
9100000;25383684
9200000;26702014
9300000;26038061
9400000;27688073
9500000;26791233
9600000;27060548
9700000;26208219
9800000;27644120
9900000;27420984
10000000;27342495
